index,cleaned_text,kmeans_k2,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7
11,"integer to roman roman numerals are represented by seven different symbols: `i`, `v`, `x`, `l`, `c`, `d` and `m`. symbol value i 1 v 5 x 10 l 50 c 100 d 500 m 1000 for example, `2` is written as `ii` in roman numeral, just two one's added together. `12` is written as `xii`, which is simply `x + ii`. the number `27` is written as `xxvii`, which is `xx + v + ii`. roman numerals are usually written largest to smallest from left to right. however, the numeral for four is not `iiii`. instead, the number four is written as `iv`. because the one is before the five we subtract it making four. the same principle applies to the number nine, which is written as `ix`. there are six instances where subtraction is used: `i` can be placed before `v` (5) and `x` (10) to make 4 and 9. `x` can be placed before `l` (50) and `c` (100) to make 40 and 90. `c` can be placed before `d` (500) and `m` (1000) to make 400 and 900. given an integer, convert it to a roman numeral. example 1: input: num = 3 output: ""iii"" example 2: input: num = 4 output: ""iv"" example 3: input: num = 9 output: ""ix"" example 4: input: num = 58 output: ""lviii"" explanation: l = 50, v = 5, iii = 3. example 5: input: num = 1994 output: ""mcmxciv"" explanation: m = 1000, cm = 900, xc = 90 and iv = 4. constraints: `1 <= num <= 3999` topics: math,string",1,1,3,4,5,2
12,"roman to integer roman numerals are represented by seven different symbols: `i`, `v`, `x`, `l`, `c`, `d` and `m`. symbol value i 1 v 5 x 10 l 50 c 100 d 500 m 1000 for example, `2` is written as `ii` in roman numeral, just two one's added together. `12` is written as `xii`, which is simply `x + ii`. the number `27` is written as `xxvii`, which is `xx + v + ii`. roman numerals are usually written largest to smallest from left to right. however, the numeral for four is not `iiii`. instead, the number four is written as `iv`. because the one is before the five we subtract it making four. the same principle applies to the number nine, which is written as `ix`. there are six instances where subtraction is used: `i` can be placed before `v` (5) and `x` (10) to make 4 and 9. `x` can be placed before `l` (50) and `c` (100) to make 40 and 90. `c` can be placed before `d` (500) and `m` (1000) to make 400 and 900. given a roman numeral, convert it to an integer. example 1: input: s = ""iii"" output: 3 example 2: input: s = ""iv"" output: 4 example 3: input: s = ""ix"" output: 9 example 4: input: s = ""lviii"" output: 58 explanation: l = 50, v= 5, iii = 3. example 5: input: s = ""mcmxciv"" output: 1994 explanation: m = 1000, cm = 900, xc = 90 and iv = 4. constraints: `1 <= s.length <= 15` `s` contains only the characters `('i', 'v', 'x', 'l', 'c', 'd', 'm')`. it is guaranteed that `s` is a valid roman numeral in the range `[1, 3999]`. topics: math,string",1,1,3,4,5,2
13,"longest common prefix write a function to find the longest common prefix string amongst an array of strings. if there is no common prefix, return an empty string `""""`. example 1: input: strs = [""flower"",""flow"",""flight""] output: ""fl"" example 2: input: strs = [""dog"",""racecar"",""car""] output: """" explanation: there is no common prefix among the input strings. constraints: `0 <= strs.length <= 200` `0 <= strs[i].length <= 200` `strs[i]` consists of only lower-case english letters. topics: string",1,2,0,2,0,4
14,"3sum given an integer array nums, return all the triplets `[nums[i], nums[j], nums[k]]` such that `i != j`, `i != k`, and `j != k`, and `nums[i] + nums[j] + nums[k] == 0`. notice that the solution set must not contain duplicate triplets. example 1: input: nums = [-1,0,1,2,-1,-4] output: [[-1,-1,2],[-1,0,1]] example 2: input: nums = [] output: [] example 3: input: nums = [0] output: [] constraints: `0 <= nums.length <= 3000` `-105 <= nums[i] <= 105` topics: array,two pointers",1,1,3,4,3,3
15,"3sum closest given an array `nums` of n integers and an integer `target`, find three integers in `nums` such that the sum is closest to `target`. return the sum of the three integers. you may assume that each input would have exactly one solution. example 1: input: nums = [-1,2,1,-4], target = 1 output: 2 explanation: the sum that is closest to the target is 2. (-1 + 2 + 1 = 2). constraints: `3 <= nums.length <= 10^3` `-10^3 <= nums[i] <= 10^3` `-10^4 <= target <= 10^4` topics: array,two pointers",1,1,3,4,3,3
16,"letter combinations of a phone number given a string containing digits from `2-9` inclusive, return all possible letter combinations that the number could represent. return the answer in any order. a mapping of digit to letters (just like on the telephone buttons) is given below. note that 1 does not map to any letters. example 1: input: digits = ""23"" output: [""ad"",""ae"",""af"",""bd"",""be"",""bf"",""cd"",""ce"",""cf""] example 2: input: digits = """" output: [] example 3: input: digits = ""2"" output: [""a"",""b"",""c""] constraints: `0 <= digits.length <= 4` `digits[i]` is a digit in the range `['2', '9']`. topics: string,backtracking,depth-first search,recursion",1,2,0,2,5,2
17,"4sum given an array `nums` of n integers and an integer `target`, are there elements a, b, c, and d in `nums` such that a + b + c + d = `target`? find all unique quadruplets in the array which gives the sum of `target`. notice that the solution set must not contain duplicate quadruplets. example 1: input: nums = [1,0,-1,0,-2,2], target = 0 output: [[-2,-1,1,2],[-2,0,0,2],[-1,0,0,1]] example 2: input: nums = [], target = 0 output: [] constraints: `0 <= nums.length <= 200` `-109 <= nums[i] <= 109` `-109 <= target <= 109` topics: array,hash table,two pointers",1,1,3,4,3,3
18,"remove nth node from end of list given the `head` of a linked list, remove the `nth` node from the end of the list and return its head. follow up: could you do this in one pass? example 1: input: head = [1,2,3,4,5], n = 2 output: [1,2,3,5] example 2: input: head = [1], n = 1 output: [] example 3: input: head = [1,2], n = 1 output: [1] constraints: the number of nodes in the list is `sz`. `1 <= sz <= 30` `0 <= node.val <= 100` `1 <= n <= sz` topics: linked list,two pointers",1,1,1,3,1,0
19,"valid parentheses given a string `s` containing just the characters `'('`, `')'`, `'{'`, `'}'`, `'['` and `']'`, determine if the input string is valid. an input string is valid if: open brackets must be closed by the same type of brackets. open brackets must be closed in the correct order. example 1: input: s = ""()"" output: true example 2: input: s = ""()[]{}"" output: true example 3: input: s = ""(]"" output: false example 4: input: s = ""([)]"" output: false example 5: input: s = ""{[]}"" output: true constraints: `1 <= s.length <= 104` `s` consists of parentheses only `'()[]{}'`. topics: string,stack",1,2,0,2,5,2
20,"merge two sorted lists merge two sorted linked lists and return it as a sorted list. the list should be made by splicing together the nodes of the first two lists. example 1: input: l1 = [1,2,4], l2 = [1,3,4] output: [1,1,2,3,4,4] example 2: input: l1 = [], l2 = [] output: [] example 3: input: l1 = [], l2 = [0] output: [0] constraints: the number of nodes in both lists is in the range `[0, 50]`. `-100 <= node.val <= 100` both `l1` and `l2` are sorted in non-decreasing order. topics: linked list,recursion",1,1,1,3,1,0
21,"generate parentheses given `n` pairs of parentheses, write a function to generate all combinations of well-formed parentheses. example 1: input: n = 3 output: [""((()))"",""(()())"",""(())()"",""()(())"",""()()()""] example 2: input: n = 1 output: [""()""] constraints: `1 <= n <= 8` topics: string,backtracking",1,2,0,2,5,2
22,"merge k sorted lists you are given an array of `k` linked-lists `lists`, each linked-list is sorted in ascending order. merge all the linked-lists into one sorted linked-list and return it. example 1: input: lists = [[1,4,5],[1,3,4],[2,6]] output: [1,1,2,3,4,4,5,6] explanation: the linked-lists are: [ 1->4->5, 1->3->4, 2->6 ] merging them into one sorted list: 1->1->2->3->4->4->5->6 example 2: input: lists = [] output: [] example 3: input: lists = [[]] output: [] constraints: `k == lists.length` `0 <= k <= 10^4` `0 <= lists[i].length <= 500` `-10^4 <= lists[i][j] <= 10^4` `lists[i]` is sorted in ascending order. the sum of `lists[i].length` won't exceed `10^4`. topics: linked list,divide and conquer,heap",1,1,3,4,3,3
23,"swap nodes in pairs given a linked list, swap every two adjacent nodes and return its head. example 1: input: head = [1,2,3,4] output: [2,1,4,3] example 2: input: head = [] output: [] example 3: input: head = [1] output: [1] constraints: the number of nodes in the list is in the range `[0, 100]`. `0 <= node.val <= 100` follow up: can you solve the problem without modifying the values in the list's nodes? (i.e., only nodes themselves may be changed.) topics: linked list,recursion",1,1,1,3,1,0
24,"reverse nodes in k-group given a linked list, reverse the nodes of a linked list k at a time and return its modified list. k is a positive integer and is less than or equal to the length of the linked list. if the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. follow up: could you solve the problem in `o(1)` extra memory space? you may not alter the values in the list's nodes, only nodes itself may be changed. example 1: input: head = [1,2,3,4,5], k = 2 output: [2,1,4,3,5] example 2: input: head = [1,2,3,4,5], k = 3 output: [3,2,1,4,5] example 3: input: head = [1,2,3,4,5], k = 1 output: [1,2,3,4,5] example 4: input: head = [1], k = 1 output: [1] constraints: the number of nodes in the list is in the range `sz`. `1 <= sz <= 5000` `0 <= node.val <= 1000` `1 <= k <= sz` topics: linked list",1,1,1,3,1,0
25,"remove duplicates from sorted array given a sorted array nums, remove the duplicates in-place such that each element appears only once and returns the new length. do not allocate extra space for another array, you must do this by modifying the input array in-place with o(1) extra memory. clarification: confused why the returned value is an integer but your answer is an array? note that the input array is passed in by reference, which means a modification to the input array will be known to the caller as well. internally you can think of this: // nums is passed in by reference. (i.e., without making a copy) int len = removeduplicates(nums); // any modification to nums in your function would be known by the caller. // using the length returned by your function, it prints the first len elements. for (int i = 0; i < len; i++) { print(nums[i]); } example 1: input: nums = [1,1,2] output: 2, nums = [1,2] explanation: your function should return length = `2`, with the first two elements of `nums` being `1` and `2` respectively. it doesn't matter what you leave beyond the returned length. example 2: input: nums = [0,0,1,1,1,2,2,3,3,4] output: 5, nums = [0,1,2,3,4] explanation: your function should return length = `5`, with the first five elements of `nums` being modified to `0`, `1`, `2`, `3`, and `4` respectively. it doesn't matter what values are set beyond the returned length. constraints: `0 <= nums.length <= 3 * 104` `-104 <= nums[i] <= 104` `nums` is sorted in ascending order. topics: array,two pointers",1,1,3,4,3,3
26,"remove element given an array nums and a value `val`, remove all instances of that value in-place and return the new length. do not allocate extra space for another array, you must do this by modifying the input array in-place with `o(1)` extra memory. the order of elements can be changed. it doesn't matter what you leave beyond the new length. clarification: confused why the returned value is an integer but your answer is an array? note that the input array is passed in by reference, which means a modification to the input array will be known to the caller as well. internally you can think of this: // nums is passed in by reference. (i.e., without making a copy) int len = removeelement(nums, val); // any modification to nums in your function would be known by the caller. // using the length returned by your function, it prints the first len elements. for (int i = 0; i < len; i++) { print(nums[i]); } example 1: input: nums = [3,2,2,3], val = 3 output: 2, nums = [2,2] explanation: your function should return length = 2, with the first two elements of nums being 2. it doesn't matter what you leave beyond the returned length. for example if you return 2 with nums = [2,2,3,3] or nums = [2,2,0,0], your answer will be accepted. example 2: input: nums = [0,1,2,2,3,0,4,2], val = 2 output: 5, nums = [0,1,4,0,3] explanation: your function should return length = `5`, with the first five elements of `nums` containing `0`, `1`, `3`, `0`, and 4. note that the order of those five elements can be arbitrary. it doesn't matter what values are set beyond the returned length. constraints: `0 <= nums.length <= 100` `0 <= nums[i] <= 50` `0 <= val <= 100` topics: array,two pointers",1,1,3,4,3,3
27,"implement strstr() implement strstr(). return the index of the first occurrence of needle in haystack, or `-1` if `needle` is not part of `haystack`. clarification: what should we return when `needle` is an empty string? this is a great question to ask during an interview. for the purpose of this problem, we will return 0 when `needle` is an empty string. this is consistent to c's strstr() and java's indexof(). example 1: input: haystack = ""hello"", needle = ""ll"" output: 2 example 2: input: haystack = ""aaaaa"", needle = ""bba"" output: -1 example 3: input: haystack = """", needle = """" output: 0 constraints: `0 <= haystack.length, needle.length <= 5 * 104` `haystack` and `needle` consist of only lower-case english characters. topics: two pointers,string",1,2,0,2,0,4
28,"divide two integers given two integers `dividend` and `divisor`, divide two integers without using multiplication, division, and mod operator. return the quotient after dividing `dividend` by `divisor`. the integer division should truncate toward zero, which means losing its fractional part. for example, `truncate(8.345) = 8` and `truncate(-2.7335) = -2`. note: assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: `[−231, 231 − 1]`. for this problem, assume that your function returns `231 − 1` when the division result overflows. example 1: input: dividend = 10, divisor = 3 output: 3 explanation: 10/3 = truncate(3.33333..) = 3. example 2: input: dividend = 7, divisor = -3 output: -2 explanation: 7/-3 = truncate(-2.33333..) = -2. example 3: input: dividend = 0, divisor = 1 output: 0 example 4: input: dividend = 1, divisor = 1 output: 1 constraints: `-231 <= dividend, divisor <= 231 - 1` `divisor != 0` topics: math,binary search",1,1,3,4,5,2
29,"substring with concatenation of all words you are given a string `s` and an array of strings `words` of the same length. return all starting indices of substring(s) in `s` that is a concatenation of each word in `words` exactly once, in any order, and without any intervening characters. you can return the answer in any order. example 1: input: s = ""barfoothefoobarman"", words = [""foo"",""bar""] output: [0,9] explanation: substrings starting at index 0 and 9 are ""barfoo"" and ""foobar"" respectively. the output order does not matter, returning [9,0] is fine too. example 2: input: s = ""wordgoodgoodgoodbestword"", words = [""word"",""good"",""best"",""word""] output: [] example 3: input: s = ""barfoofoobarthefoobarman"", words = [""bar"",""foo"",""the""] output: [6,9,12] constraints: `1 <= s.length <= 104` `s` consists of lower-case english letters. `1 <= words.length <= 5000` `1 <= words[i].length <= 30` `words[i]` consists of lower-case english letters. topics: hash table,two pointers,string",1,2,0,2,0,4
30,"next permutation implement next permutation, which rearranges numbers into the lexicographically next greater permutation of numbers. if such an arrangement is not possible, it must rearrange it as the lowest possible order (i.e., sorted in ascending order). the replacement must be in place and use only constant extra memory. example 1: input: nums = [1,2,3] output: [1,3,2] example 2: input: nums = [3,2,1] output: [1,2,3] example 3: input: nums = [1,1,5] output: [1,5,1] example 4: input: nums = [1] output: [1] constraints: `1 <= nums.length <= 100` `0 <= nums[i] <= 100` topics: array",1,1,3,4,3,3
31,"longest valid parentheses given a string containing just the characters `'('` and `')'`, find the length of the longest valid (well-formed) parentheses substring. example 1: input: s = ""(()"" output: 2 explanation: the longest valid parentheses substring is ""()"". example 2: input: s = "")()())"" output: 4 explanation: the longest valid parentheses substring is ""()()"". example 3: input: s = """" output: 0 constraints: `0 <= s.length <= 3 * 104` `s[i]` is `'('`, or `')'`. topics: string,dynamic programming",1,2,0,2,0,4
32,"search in rotated sorted array there is an integer array `nums` sorted in ascending order (with distinct values). prior to being passed to your function, `nums` is rotated at an unknown pivot index `k` (`0 <= k < nums.length`) such that the resulting array is `[nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]]` (0-indexed). for example, `[0,1,2,4,5,6,7]` might be rotated at pivot index `3` and become `[4,5,6,7,0,1,2]`. given the array `nums` after the rotation and an integer `target`, return the index of `target` if it is in `nums`, or `-1` if it is not in `nums`. example 1: input: nums = [4,5,6,7,0,1,2], target = 0 output: 4 example 2: input: nums = [4,5,6,7,0,1,2], target = 3 output: -1 example 3: input: nums = [1], target = 0 output: -1 constraints: `1 <= nums.length <= 5000` `-104 <= nums[i] <= 104` all values of `nums` are unique. `nums` is guaranteed to be rotated at some pivot. `-104 <= target <= 104` follow up: can you achieve this in `o(log n)` time complexity? topics: array,binary search",1,1,3,4,3,3
33,"find first and last position of element in sorted array given an array of integers `nums` sorted in ascending order, find the starting and ending position of a given `target` value. if `target` is not found in the array, return `[-1, -1]`. follow up: could you write an algorithm with `o(log n)` runtime complexity? example 1: input: nums = [5,7,7,8,8,10], target = 8 output: [3,4] example 2: input: nums = [5,7,7,8,8,10], target = 6 output: [-1,-1] example 3: input: nums = [], target = 0 output: [-1,-1] constraints: `0 <= nums.length <= 105` `-109 <= nums[i] <= 109` `nums` is a non-decreasing array. `-109 <= target <= 109` topics: array,binary search",1,1,3,4,3,3
34,"search insert position given a sorted array of distinct integers and a target value, return the index if the target is found. if not, return the index where it would be if it were inserted in order. example 1: input: nums = [1,3,5,6], target = 5 output: 2 example 2: input: nums = [1,3,5,6], target = 2 output: 1 example 3: input: nums = [1,3,5,6], target = 7 output: 4 example 4: input: nums = [1,3,5,6], target = 0 output: 0 example 5: input: nums = [1], target = 0 output: 0 constraints: `1 <= nums.length <= 104` `-104 <= nums[i] <= 104` `nums` contains distinct values sorted in ascending order. `-104 <= target <= 104` topics: array,binary search",1,1,3,4,3,3
35,"valid sudoku determine if a `9 x 9` sudoku board is valid. only the filled cells need to be validated according to the following rules: each row must contain the digits `1-9` without repetition. each column must contain the digits `1-9` without repetition. each of the nine `3 x 3` sub-boxes of the grid must contain the digits `1-9` without repetition. note: a sudoku board (partially filled) could be valid but is not necessarily solvable. only the filled cells need to be validated according to the mentioned rules. example 1: input: board = [[""5"",""3"",""."",""."",""7"",""."",""."",""."","".""] ,[""6"",""."",""."",""1"",""9"",""5"",""."",""."","".""] ,[""."",""9"",""8"",""."",""."",""."",""."",""6"","".""] ,[""8"",""."",""."",""."",""6"",""."",""."",""."",""3""] ,[""4"",""."",""."",""8"",""."",""3"",""."",""."",""1""] ,[""7"",""."",""."",""."",""2"",""."",""."",""."",""6""] ,[""."",""6"",""."",""."",""."",""."",""2"",""8"","".""] ,[""."",""."",""."",""4"",""1"",""9"",""."",""."",""5""] ,[""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]] output: true example 2: input: board = [[""8"",""3"",""."",""."",""7"",""."",""."",""."","".""] ,[""6"",""."",""."",""1"",""9"",""5"",""."",""."","".""] ,[""."",""9"",""8"",""."",""."",""."",""."",""6"","".""] ,[""8"",""."",""."",""."",""6"",""."",""."",""."",""3""] ,[""4"",""."",""."",""8"",""."",""3"",""."",""."",""1""] ,[""7"",""."",""."",""."",""2"",""."",""."",""."",""6""] ,[""."",""6"",""."",""."",""."",""."",""2"",""8"","".""] ,[""."",""."",""."",""4"",""1"",""9"",""."",""."",""5""] ,[""."",""."",""."",""."",""8"",""."",""."",""7"",""9""]] output: false explanation: same as example 1, except with the 5 in the top left corner being modified to 8. since there are two 8's in the top left 3x3 sub-box, it is invalid. constraints: `board.length == 9` `board[i].length == 9` `board[i][j]` is a digit or `'.'`. topics: hash table",1,1,3,1,4,6
